id,name,items,prices,image_url,category
0,大杯玉米湯,[0],52,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1417.png?,
1,揚蝦圈圈堡,[1],95,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1236.png?,
2,嫩雞圈圈堡,[2],95,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/31361.png?,
3,起司豬排堡,[3],79,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1540.png?,
4,培根牛肉堡,[4],105,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1081.png?,
5,雙層四盎司牛肉堡,[5],115,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1060.png?,
6,四盎司牛肉堡,[6],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1059.png?,
7,大麥克,[7],79,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1058.png?,
8,雙層牛肉吉事堡,[8],75,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1044.png?,
9,勁辣鷄腿堡,[9],82,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1317.png?,
10,板烤鷄腿堡,[10],85,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1315.png?,
11,原味麥脆鷄,[11],50,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1309.png?,
12,辣味麥脆鷄,[12],50,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1310.png?,
13,九塊麥克鷄塊,[13],95,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1300.png?,
14,六塊麥克鷄塊,[14],69,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1302.png?,
15,麥香魚,[15],69,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1217.png?,
16,麥香鷄,[16],49,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1348.png?,
17,麥克雙牛堡,[17],49,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1048.png?,
18,法式芥末香鷄堡,[18],39,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/31307.png?,
19,美式辣鷄堡,[19],39,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/31333.png?,
20,冰炫風-布朗尼,[94],55,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/4347.png?,
21,冰炫風 (芝麻),[94],55,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/4368.png?,
22,OREO冰炫風,[94],55,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/4361.png?,
23,花聖代-布朗尼,[23],49,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/4339.png?,
24,聖代(芝麻),[104],30,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/4337.png?,
25,巧克力聖代,[104],30,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/4329.png?,
26,香草奶昔,[26],40,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/4203.png?,
27,草莓奶昔,[27],40,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/4202.png?,
28,洋蔥香圈圈,[28],49,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/4072.png?,
29,小四季沙拉,[29],25,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1607.png?,
30,勁辣香雞翅,[30],39,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1330.png?,
